Jim Allister
Martina Anderson
Alex Attwood
Diane Dodds,DIANE ELIZABETH DODDS,secretary,R AND D SERVICES LIMITED,03239520,gb,https://opencorporates.com/companies/gb/03239520
Diane Dodds,DIANE ELIZABETH DODDS,director,R AND D SERVICES LIMITED,03239520,gb,https://opencorporates.com/companies/gb/03239520
Diane Dodds,HELEN DIANE DODDS,director,REXAM LIQUID PACKAGING LIMITED,01408486,gb,https://opencorporates.com/companies/gb/01408486
Anna Lo,ANNA LO,director,AMOEBA GIFTS LTD,07861200,gb,https://opencorporates.com/companies/gb/07861200
Anna Lo,ANNA LO,director,THE PRISON SERVICE TRUST,NI043324,gb,https://opencorporates.com/companies/gb/NI043324
Anna Lo,ANNA LO,secretary,GLOBAL SOURCING & TRADING LIMITED,04422424,gb,https://opencorporates.com/companies/gb/04422424
Anna Lo,ANNA LO,director,GLOBAL SOURCING & TRADING LIMITED,04422424,gb,https://opencorporates.com/companies/gb/04422424
Anna Lo,ANNA LO,director,GLENWOOD PROPERTY INVESTMENTS LIMITED,05510343,gb,https://opencorporates.com/companies/gb/05510343
Anna Lo,ANNA MAN-WHA LO  MBE,director,NORTHERN IRELAND COUNCIL FOR ETHNIC MINORITIES - THE,NI036868,gb,https://opencorporates.com/companies/gb/NI036868
Anna Lo,ANNA MANWAH LO,director,SOUTH BELFAST HIGHWAY TO HEALTH,NI043038,gb,https://opencorporates.com/companies/gb/NI043038
Anna Lo,ANNA MANWAH LO,director,GEMS NORTHERN IRELAND LTD,NI059280,gb,https://opencorporates.com/companies/gb/NI059280
Tina McKenzie,YVETTE TINA MCKENZIE,director,HOMBA LIMITED,04785962,gb,https://opencorporates.com/companies/gb/04785962
Jim Nicholson,JIM NICHOLSON,director,MAZE & PARTNERS LTD,07496030,gb,https://opencorporates.com/companies/gb/07496030
Jim Nicholson,JIM NICHOLSON,director,MAZE & PARTNERS LTD,07496030,gb,https://opencorporates.com/companies/gb/07496030
Jim Nicholson,JIM NICHOLSON,director,PELIPOINT LIMITED,06835615,gb,https://opencorporates.com/companies/gb/06835615
Henry Reilly,HENRY GLEN REILLY,director,ICE HOCKEY UK LIMITED,03800672,gb,https://opencorporates.com/companies/gb/03800672
Henry Reilly,HENRY MARTIN REILLY,director,MOURNESPORTS LIMITED,NI030875,gb,https://opencorporates.com/companies/gb/NI030875
Henry Reilly,HENRY REILLY,director,ANNALONG COMMUNITY DEVELOPMENT ASSOCIATION LIMITED,NI029070,gb,https://opencorporates.com/companies/gb/NI029070
Henry Reilly,JAMES HENRY REILLY,director,AKSYS SERVICES LIMITED,03597146,gb,https://opencorporates.com/companies/gb/03597146
Henry Reilly,JAMES HENRY REILLY,director,WESTOUR DIRECTORS LIMITED,04092473,gb,https://opencorporates.com/companies/gb/04092473
Henry Reilly,JAMES HENRY REILLY,secretary,NACALO LIMITED,03640211,gb,https://opencorporates.com/companies/gb/03640211
Henry Reilly,JAMES HENRY REILLY,director,PARTICIPATION AND CONSULTING LIMITED,01943744,gb,https://opencorporates.com/companies/gb/01943744
Henry Reilly,JOHN HENRY BOOTLE O`REILLY,director,BOOTLE INNS LIMITED,07099718,gb,https://opencorporates.com/companies/gb/07099718
Henry Reilly,THOMAS HENRY MARTIN REILLY,director,KENIAR LIMITED,05734193,gb,https://opencorporates.com/companies/gb/05734193
